Posted_On,BHK,Rent,Size_,Floor_,Area_Locality,City,Furnishing,Tenant_Preferred,Bathroom,Point_of_Contact
2022-06-27,5,360000,1880,11 out of 27,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,4,Contact Agent
2022-07-06,2,60000,888,5 out of 20,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-31,1,19000,490,Ground out of 8,Bhandup East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-16,3,140000,937,28 out of 39,"Sheth Beaumonte, Sion Koliwada",Mumbai,Unfurnished,Family,4,Contact Agent
2022-05-13,2,30000,710,12 out of 21,"Gokul Gagan, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-18,4,130000,1617,15 out of 58,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-05-24,2,80000,836,6 out of 23,"TATA Falcon Crest, Parel",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-06,2,85000,1200,36 out of 45,"Crescent Bay T3, Bhoiwada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-07,2,65000,950,9 out of 28,"Vishnu Shivam Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,1,33000,460,10 out of 25,"Conwood Astoria, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,1,36000,585,10 out of 14,"Odyssey Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-12,2,22000,550,2 out of 7,"Salasar Garden, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent
2022-06-16,1,17000,375,9 out of 20,"Royal Palms Diamond Isle Phase II, Aarey Milk Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-06-03,2,55000,700,10 out of 20,"Raj Legacy, Vikhroli West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,2,66000,750,2 out of 8,"Sundar Nagar, Kalina",Mumbai,Unfurnished,Family,2,Contact Agent
2022-07-09,4,140000,2000,6 out of 45,"DB Woods, Gokuldham",Mumbai,Furnished,Family,4,Contact Agent
2022-07-06,4,260000,2046,22 out of 52,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-06-28,2,32000,750,3 out of 7,"Shree Sai Usha Complex, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-27,2,45000,730,5 out of 17,"Raheja Heights, Malad East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-17,2,50000,750,10 out of 20,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-04-29,1,18500,229,5 out of 9,Vile Parle,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-29,2,51000,910,10 out of 19,"Rivali Park, Borivali East",Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-06-04,4,140000,1648,21 out of 58,"Sheth Auris Serinity, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-07-09,3,80000,1100,48 out of 54,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,3,Contact Agent
2022-06-26,1,30000,560,2 out of 4,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-06-30,2,85000,850,4 out of 6,Andheri West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-16,1,15000,450,2 out of 4,Dahisar East,Mumbai,Unfurnished,Family,1,Contact Owner
2022-05-31,2,50000,820,7 out of 28,"Raheja Heights, BMC Colony Malad East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-31,2,60000,750,10 out of 20,"Tridhaatu Bhaveshwar Vilas, Central Avenue Road",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-07,1,23000,410,4 out of 7,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-02,1,14500,490,12 out of 20,Ketki Pada,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-30,2,40000,700,11 out of 15,Collector Colony,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-31,5,650000,3000,8 out of 10,Khar West,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-05-23,1,80000,560,1 out of 7,Waterfield Road,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2022-07-07,2,55000,650,8 out of 18,"White Lily Apartment, Bhandup East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-31,1,12000,520,2 out of 3,in Mira Road,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-09,2,45000,850,9 out of 12,"Eco Residency, Andheri East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-09,2,90000,777,19 out of 22,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-06,2,43000,771,15 out of 37,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-07,1,22000,400,3 out of 7,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-06-26,2,20000,600,7 out of 7,"Marigold-5, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent
2022-07-04,1,26000,390,Upper Basement out of 7,"Greenfields CHS, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-23,4,850000,3200,2 out of 4,Breach Candy,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2022-06-27,1,34999,450,5 out of 12,"HDIL Premier Residences, Kurla West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-04,1,35000,500,7 out of 23,Powai,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-13,1,50000,410,6 out of 12,Dadar East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-03,1,16000,160,2 out of 3,Lal Baug,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,2,55000,750,10 out of 14,Chandivali,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-02,1,39000,585,3 out of 7,"Chanchal Kalyan Complex, Yari Road",Mumbai,Unfurnished,Family,2,Contact Agent
2022-06-16,3,100000,1300,12 out of 24,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Family,3,Contact Agent
2022-06-10,1,25000,350,2 out of 17,Ghatla,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
2022-05-05,1,25000,490,3 out of 7,Kandivali East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,49500,650,5 out of 16,Juhu Versova Link Road,Mumbai,Unfurnished,Family,2,Contact Agent
2022-06-10,1,21000,225,6 out of 24,Lower Parel,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-20,2,110000,850,5 out of 13,Pali Hill,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-07,1,21000,385,Ground out of 5,in Santacruz East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-09,2,46700,800,2 out of 7,"Milap CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2,Contact Agent
2022-06-22,4,400000,2500,5 out of 12,Bandra West,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2022-05-14,4,280000,1526,76 out of 78,"Lodha Marquise, Worli",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-05-27,1,18000,300,3 out of 10,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-06,3,80000,1800,10 out of 13,"Sabari Palm View, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-28,2,88000,800,5 out of 20,"Kanakia Paris, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-17,3,90000,890,20 out of 27,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,Family,2,Contact Agent
2022-05-18,2,38000,700,14 out of 23,"Sky Villa, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-07,1,20000,465,3 out of 4,in Borivali East,Mumbai,Semi-Furnished,Bachelors,1,Contact Owner
2022-06-20,2,140000,900,8 out of 36,"Marathon Next Gen Era, Lower Parel",Mumbai,Furnished,Family,2,Contact Agent
2022-05-17,3,78000,1073,8 out of 20,"Raheja Ridgewood, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-23,1,21000,450,4 out of 7,Chembur,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-27,3,95000,1350,8 out of 16,"Rajesh Raj Classic, Yari Road",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-06-30,2,90000,800,5 out of 8,"Band Stand, Bandra Band Stand",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-04,2,34000,600,4 out of 7,"Shiv Dham Apartment, Goregaon East",Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-06-30,2,55000,650,5 out of 15,Sion Trombay Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-18,2,52000,550,3 out of 3,Dadar East,Mumbai,Furnished,Bachelors,2,Contact Agent
2022-06-20,1,74999,840,8 out of 17,"Celestia Spaces, Balkrishna Dadu Karade Chowk",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-18,3,75000,1121,30 out of 45,"DB Woods, Gokuldham",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-05-26,2,45000,650,2 out of 12,"Swastik Pride, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-16,1,22000,575,14 out of 14,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,32000,475,3 out of 4,Andheri East,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
2022-06-22,2,34000,830,9 out of 21,"Indraprastha CHS, Bhayandar East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-19,3,170000,1337,28 out of 30,"Oberoi Splendor Grande, Agarkar Chowk",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-13,1,23000,420,5 out of 7,"Spring Leaf, Lokhandwala Twp",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-21,1,20000,310,Ground out of 7,Malad West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-07-04,3,350000,1800,2 out of 12,Khar West,Mumbai,Furnished,Family,4,Contact Agent
2022-07-06,3,90000,967,14 out of 33,"Romell Aether, Goregaon East",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-06-30,1,55000,505,4 out of 12,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-23,1,15000,275,3 out of 7,Borivali East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-07,2,22000,640,21 out of 21,Mahajan Wadi,Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-06-13,3,60000,1500,10 out of 23,Film City,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-13,2,49000,850,10 out of 23,"Lakshchandi Height, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-20,2,34000,900,12 out of 25,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-18,1,24000,430,6 out of 7,"Bhoomi Elegant, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-07,4,270000,1649,18 out of 29,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,Family,3,Contact Agent
2022-05-11,3,69000,1100,12 out of 24,Chandivali,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2022-07-09,3,120000,1200,14 out of 35,Worli,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-17,2,32000,680,5 out of 20,"Galassia, Kandarpada",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-25,2,24000,600,5 out of 7,Charkop,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
2022-06-07,4,100000,1560,12 out of 19,"diamond garden, Chembur",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
2022-05-27,5,600000,4500,7 out of 20,Bandra West,Mumbai,Furnished,Bachelors,5,Contact Agent
2022-07-06,2,45000,771,20 out of 37,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-09,2,80000,800,7 out of 22,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-27,2,37000,800,5 out of 14,"Mayuresh Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-06-16,3,210000,1425,9 out of 35,"The Primordial House, Kemps Corner",Mumbai,Furnished,Bachelors,4,Contact Agent
2022-06-27,4,190000,1750,5 out of 17,"Godrej The Trees, Pirojshah Nagar",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-05-27,1,25000,475,11 out of 15,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-07-09,4,210000,2000,27 out of 27,Vikhroli,Mumbai,Unfurnished,Bachelors,5,Contact Agent
2022-06-04,3,200000,1375,15 out of 60,"Raheja Imperia, Worli",Mumbai,Semi-Furnished,Family,3,Contact Agent
2022-06-29,5,310000,2800,19 out of 33,"MidCity Shikhar, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-05-18,1,26000,650,1 out of 3,Srinagarchs chembur west near sankralyammandir,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-01,2,27000,600,18 out of 20,"Royal Palms, Goregaon East",Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-04-29,1,26000,649,3 out of 3,"Uttam Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-29,2,60000,950,2 out of 8,"Green Woods Chkala, Andheri East",Mumbai,Furnished,Bachelors,2,Contact Agent
2022-06-02,1,12000,225,7 out of 7,Ashok Van,Mumbai,Unfurnished,Family,1,Contact Owner
2022-06-22,2,180000,1000,6 out of 10,Malabar Hill,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,1,30000,330,13 out of 40,Malad East,Mumbai,Furnished,Family,1,Contact Agent
2022-06-25,3,100000,1200,8 out of 14,Khar West,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-06-23,3,140000,1270,15 out of 60,"Lodha Azzuro , Parel",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-17,3,70000,920,14 out of 21,"Safal Twins, Chembur",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-26,2,20000,630,4 out of 22,"SK Imperial Heights, Mira Road East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-28,2,22000,670,4 out of 12,"Prathamesh Heritage, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent
2022-06-04,1,32000,450,1 out of 5,Andheri West,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
2022-04-28,1,20000,265,6 out of 7,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-06,2,50000,600,9 out of 11,"K Raheja Maple Leaf, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-04,2,29000,670,7 out of 7,Amar Nagar,Mumbai,Unfurnished,Family,2,Contact Owner
2022-07-06,2,45000,650,10 out of 18,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-02,1,6500,422,9 out of 15,Nalasopara West,Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-06-12,2,55000,955,8 out of 22,"MJ Shah Centrio, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-27,3,69999,1100,6 out of 13,Kurla,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2022-05-08,1,18500,300,3 out of 4,JL Tambe Nagar,Mumbai,Unfurnished,Bachelors,1,Contact Owner
2022-06-30,2,50000,900,5 out of 17,"Dheeraj Valley Tower, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-28,2,45000,785,2 out of 7,Chakala,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-06-03,3,85000,1350,20 out of 31,"HDIL Metropolis, 4 Bunglows",Mumbai,Furnished,Family,3,Contact Agent
2022-06-06,2,85000,900,27 out of 45,"Ruparel Ariana, Parel",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-27,1,25000,400,18 out of 23,Worli,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-05-27,2,75000,800,19 out of 20,"Sethia Grandeur, Bandra East",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2022-07-09,2,190000,895,32 out of 46,"Indiabulls Blu, Worli",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-27,1,20000,625,10 out of 12,Dahisar East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-23,2,30000,720,5 out of 14,"Samarth Garden, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-04,2,75000,750,4 out of 13,"Utkarsh CHS, Prabhadevi",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-08,3,350000,1663,19 out of 85,"Indiabulls Blu, Worli Naka Acharaya Atre Chowk",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-06,2,70000,660,Ground out of 6,Azad Nagar Colaba,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-30,2,32000,700,Ground out of 7,"MUKTA MAHEK, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-23,1,22000,377,3 out of 23,"Srishti Elegance, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-04,2,35000,650,5 out of 6,Thakur Complex,Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-05-31,2,47000,650,5 out of 7,"117 Residency, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-09,4,400000,2080,34 out of 46,"Indiabulls Blu, Worli",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-06-08,2,31000,700,2 out of 8,"Sai Aasha Daya, Mulund East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,1,60000,430,1 out of 7,Bandra West,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2022-06-16,2,58000,650,15 out of 24,"L&T Emerald Isle, Powai",Mumbai,Unfurnished,Family,2,Contact Agent
2022-06-14,3,85000,890,4 out of 27,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,2,45000,965,19 out of 27,Bhakti Park,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-07-02,1,7500,630,3 out of 12,"Sumit Greendale, Chikhal Dongari",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-14,4,250000,2100,35 out of 60,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-07-09,3,150000,1100,9 out of 16,"Badrinath Tower, Amit Nagar",Mumbai,Furnished,Family,3,Contact Agent
2022-06-29,2,80000,730,4 out of 6,Perry Rd,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-18,3,75000,1380,9 out of 22,"Thakur Jewel, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-17,3,66000,1100,17 out of 22,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-09,1,45000,450,5 out of 7,Mahim West,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
2022-07-04,1,22000,500,3 out of 4,"Madhugiri Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-09,3,65000,1100,9 out of 20,"Raheja Heights, Malad East",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-25,3,55000,868,9 out of 21,"Orchid Suburbia, Bander Pakhadi",Mumbai,Unfurnished,Family,3,Contact Agent
2022-06-18,2,55000,750,6 out of 15,"Omkar Meridia, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-04-28,1,36000,540,2 out of 3,in Mahim West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-16,4,230000,2100,21 out of 33,"Hiranandani Gardens Odyssey I, Hiranandani Gardens",Mumbai,Furnished,Family,5,Contact Agent
2022-07-06,1,22000,450,4 out of 7,Charkop Sector 6,Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-05-31,3,170000,1600,25 out of 52,"Crescent Bay Callisto, Parel",Mumbai,Semi-Furnished,Family,4,Contact Agent
2022-04-28,1,34000,560,3 out of 7,Serenity Complex,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
2022-06-02,1,45000,500,2 out of 3,"Irla, Vile Parle West",Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-05-23,1,14000,305,2 out of 24,Kandivali West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-06-09,3,75000,970,1 out of 3,"Paras Building, Sion East",Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2022-06-04,1,7000,480,4 out of 4,Taloja Phase 2,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-31,2,55000,720,1 out of 6,"diamond garden, Chembur East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-07-09,2,55000,950,7 out of 10,"Valentine Apartments, Gokuldham",Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-06-27,4,700000,3200,24 out of 24,"Lady Ratan Tower, Worli",Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2022-06-16,3,140000,1450,18 out of 33,"Hiranandani Gardens Torino, Hiranandani Gardens",Mumbai,Furnished,Family,3,Contact Agent
2022-06-23,2,42000,774,10 out of 20,"Lokhandwala Octacrest, Lokhandwala Twp",Mumbai,Semi-Furnished,Family,2,Contact Agent
2022-06-23,1,27000,450,2 out of 3,Andheri West,Mumbai,Unfurnished,Family,1,Contact Agent
2022-06-09,3,60000,1000,1 out of 10,Malad West,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2022-06-23,1,17000,340,1 out of 8,Goregaon East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-26,1,30000,430,14 out of 23,"Sindhi Society, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-31,2,45000,722,4 out of 7,"Alpine Apartments, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-25,3,90000,1152,12 out of 21,"Kabra Metro One, Seven Bungalows",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-04-28,1,25000,641,3 out of 8,Borivali West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-14,2,70000,810,4 out of 11,"Vintage Pearl Apartment, Bandra West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-04,2,90000,800,5 out of 6,Vile Parle West,Mumbai,Furnished,Family,2,Contact Agent
2022-07-07,2,110000,875,12 out of 14,Bandra West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-04,2,20000,700,8 out of 22,"Man Opus, Mira Road",Mumbai,Unfurnished,Family,2,Contact Owner
2022-06-15,1,35000,420,Ground out of 3,in Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-23,3,80000,1400,1 out of 2,Ghatkopar,Mumbai,Furnished,Bachelors/Family,3,Contact Owner
2022-05-13,2,54500,758,12 out of 24,"L&T Emerald Isle, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-07,4,350000,2880,45 out of 60,"Lodha World Crest, Lower Parel",Mumbai,Unfurnished,Bachelors,5,Contact Agent
2022-06-20,1,45000,480,7 out of 7,Seven Bungalows,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-06-17,1,38000,550,6 out of 10,Sion East,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2022-07-07,2,90000,900,60 out of 71,"Lodha Venezia, Parel",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-27,1,22000,400,8 out of 22,Bhoiwada,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-09,2,70000,760,9 out of 22,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-07,4,380000,2800,36 out of 81,"World One Tower Mumbai, Worli",Mumbai,Unfurnished,Bachelors,5,Contact Agent
2022-06-20,1,50000,400,10 out of 22,"Hiranandani Regent Hill, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-07-07,4,680000,1962,18 out of 20,Khar West,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-07-09,3,140000,1100,6 out of 12,Waterfield Road,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-27,2,40000,800,1 out of 3,in Borivali West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-07,2,32000,590,7 out of 12,"Saaga Mrunali CHS, Shantivan",Mumbai,Unfurnished,Family,2,Contact Agent
2022-07-06,2,78000,600,14 out of 22,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-25,4,280000,2500,24 out of 60,"Bombay Dyeing Two ICC, Dadar TT Circle",Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent
2022-07-06,2,45000,670,17 out of 22,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-09,2,65000,960,16 out of 38,"Dosti Ambrosia, Wadala East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-21,2,65000,1500,4 out of 4,in Sion,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-06-08,1,35000,500,1 out of 5,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-28,3,90000,1120,8 out of 45,"DB Woods, Gokuldham",Mumbai,Furnished,Family,2,Contact Agent
2022-05-27,4,250000,2729,20 out of 27,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Bachelors,5,Contact Agent
2022-06-30,3,70000,3354,Ground out of 16,Talagatta Pura,Bangalore,Furnished,Bachelors/Family,3,Contact Agent
2022-06-23,2,10500,800,3 out of 4,Nagappa Reddy layout-Dooravani Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-04,2,13000,1000,Ground out of 4,"Kattigenahalli, Bellary Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-04,2,17000,1040,4 out of 4,C V Raman Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
2022-06-04,3,21000,1403,1 out of 4,"Chikkalasandra, Bangalore",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
